PUMA,Name
"03737",Los Angeles County (Central)--Monterey Park & Rosemead Cities PUMA
"03754",Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities PUMA
"03755",Los Angeles County (Southeast)--Norwalk City PUMA
"03752",Los Angeles County (South)--South Gate & Lynwood Cities PUMA
"03742","Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUMA"
"03745",Los Angeles County (Central)--LA City (Southeast/East Vernon) PUMA
"03732",Los Angeles County (Central)--LA City (East Central/Hollywood) PUMA
"03739",Los Angeles County (Southeast)--Whittier City & Hacienda Heights PUMA
"03753",Los Angeles County (South)--Downey City PUMA
"03734","Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA"
"03733",Los Angeles County (Central)--LA City (Central/Koreatown) PUMA
"03740",Los Angeles County (Central)--Pico Rivera & Montebello Cities PUMA
"03744",Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUMA
"03741","Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities PUMA"
"03743",Los Angeles County (Central)--East Los Angeles PUMA
"02500",Imperial County--El Centro City PUMA
"00300","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties PUMA"
"07302","San Diego County (North & East)--Fallbrook, Alpine & Valley Center PUMA"
"06515","Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA"
"06507","Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities PUMA"
"06502","Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities PUMA"
"07101",San Bernardino County (Northeast)--Twentynine Palms & Barstow Cities PUMA
"07104","San Bernardino County (Southwest)--Phelan, Lake Arrowhead & Big Bear City PUMA"
"06501","Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities PUMA"
