NAME,age.group,pop,pop.pct
"Guadalupe city, California",age.0.17,2478,0.33714285714285713
"Guadalupe city, California",age.18.64,4105,0.5585034013605442
"Guadalupe city, California",age.65.99,767,0.10435374149659864
"Santa Barbara city, California",age.0.17,15514,0.1698768135778812
"Santa Barbara city, California",age.18.64,59365,0.6500410621407062
"Santa Barbara city, California",age.65.99,16446,0.18008212428141254
"Moss Beach CDP, California",age.0.17,1149,0.3024480126349039
"Moss Beach CDP, California",age.18.64,2070,0.5448802316399053
"Moss Beach CDP, California",age.65.99,580,0.15267175572519084
"Fall River Mills CDP, California",age.0.17,46,0.1684981684981685
"Fall River Mills CDP, California",age.18.64,89,0.326007326007326
"Fall River Mills CDP, California",age.65.99,138,0.5054945054945055
"French Gulch CDP, California",age.0.17,61,0.1383219954648526
"French Gulch CDP, California",age.18.64,283,0.6417233560090703
"French Gulch CDP, California",age.65.99,97,0.2199546485260771
"Tahoe Vista CDP, California",age.0.17,271,0.21040372670807453
"Tahoe Vista CDP, California",age.18.64,890,0.6909937888198758
"Tahoe Vista CDP, California",age.65.99,127,0.0986024844720497
"Inyokern CDP, California",age.0.17,54,0.07297297297297298
"Inyokern CDP, California",age.18.64,441,0.595945945945946
"Inyokern CDP, California",age.65.99,245,0.3310810810810811
"Burlingame city, California",age.0.17,7146,0.23461045996257263
"Burlingame city, California",age.18.64,19052,0.625496569158541
"Burlingame city, California",age.65.99,4261,0.13989297087888639
"San Carlos city, California",age.0.17,7351,0.2443816489361702
"San Carlos city, California",age.18.64,18071,0.6007646276595745
"San Carlos city, California",age.65.99,4658,0.15485372340425532
"South San Francisco city, California",age.0.17,12760,0.1896157161113918
"South San Francisco city, California",age.18.64,43572,0.6474871459565489
"South San Francisco city, California",age.65.99,10962,0.16289713793205932
"Edwards AFB CDP, California",age.0.17,1138,0.4426293271100739
"Edwards AFB CDP, California",age.18.64,1433,0.5573706728899261
"Edwards AFB CDP, California",age.65.99,0,0
"Frazier Park CDP, California",age.0.17,560,0.2178988326848249
"Frazier Park CDP, California",age.18.64,1654,0.643579766536965
"Frazier Park CDP, California",age.65.99,356,0.13852140077821012
"McKittrick CDP, California",age.0.17,18,0.14173228346456693
"McKittrick CDP, California",age.18.64,85,0.6692913385826772
"McKittrick CDP, California",age.65.99,24,0.1889763779527559
"Squirrel Mountain Valley CDP, California",age.0.17,223,0.19240724762726488
"Squirrel Mountain Valley CDP, California",age.18.64,469,0.40465918895599656
"Squirrel Mountain Valley CDP, California",age.65.99,467,0.4029335634167386
"Weedpatch CDP, California",age.0.17,831,0.37131367292225204
"Weedpatch CDP, California",age.18.64,1273,0.5688114387846291
"Weedpatch CDP, California",age.65.99,134,0.05987488829311886
"Mira Monte CDP, California",age.0.17,856,0.12384259259259259
"Mira Monte CDP, California",age.18.64,4173,0.6037326388888888
"Mira Monte CDP, California",age.65.99,1883,0.27242476851851855
